postcode;;;;;;;;;;;;
3437;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Niewegein; R.J. Holland (505504);;
3438;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Niewegein; R.J. Holland (505504);;
3439;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Niewegein; R.J. Holland (505504);;
3441;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3442;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3443;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3444;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3445;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3446;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3447;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3448;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3449;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3450;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Utrecht; R.J. Holland (505504);;
3451;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Utrecht; R.J. Holland (505504);;
3455;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Utrecht; R.J. Holland (505504);;
3460;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Montfoort; R.J. Holland (505504);;
3461;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Montfoort; R.J. Holland (505504);;
3464;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Oudewater; R.J. Holland (505504);;
3467;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Oudewater; R.J. Holland (505504);;
3470;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3471;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3472;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3473;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3474;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3475;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3476;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3477;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3478;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3479;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3480;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3481;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Woerden; R.J. Holland (505504);;
3600;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Stichtse Vecht; R.J. Holland (505504);;
3601;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Stichtse Vecht; R.J. Holland (505504);;
3602;Infra-SV;West;Perceel 3;APK;;MD-RA-PV;4600006062;50;Stichtse Vecht; R.J. Holland (505504);;
