VARIANTID;TAAKID;TAAKMODUS;TAAK_OMSCHRIJVING
36;;;
64;;;
68;;;
69;;;
72;;;
84;9210_ASAP;PB_CONTOPL;Controleren oplevering
85;9210_ASAP;PB_CONTOPL;Controleren oplevering
131;9210_ASAP;PB_CONTOPL;Controleren oplevering
