PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE
101000159641;PD180974;504461;;3833 GN;combi_laagbouw_oranje;KA1;E;PROCES
101000160521;PD181712;504461;;3445 BB;combi_laagbouw_oranje;KA1;E;PROCES
101000161304;PD182305;504461;;3826 PG;combi_laagbouw_oranje;KA1;E;PROCES
101000162321;PD183503;504461;;3438 AS;combi_laagbouw_groen;KA1;E;PROCES
101000162706;PD183931;504461;;3751 KA;combi_laagbouw_groen;KA1;E;PROCES
101000162779;PD184139;504461;;3648 HE;combi_laagbouw_oranje;KA1;E;PROCES
101000163476;PD184834;504461;;3433 CC;combi_laagbouw_groen;KA1;E;PROCES
101000163515;PD184800;504461;;3433 CD;combi_rood;KA1;E+G;PROCES
101000164167;PD185403;504461;;3603 BM;combi_laagbouw_groen;KA1;E;PROCES
101000164171;PD185410;504461;;3603 BP;combi_laagbouw_groen;KA1;E;PROCES
101000164204;PD185258;504461;;3762 EA;combi_laagbouw_groen;KA1;G;PROCES
101000165361;PD186179;504461;;3441 BH;combi_laagbouw_groen;KA1;E;PROCES
101000165363;PD186181;504461;;3441 BT;combi_laagbouw_groen;KA1;E;PROCES
101000165854;PD186696;504461;;1231 LT;combi_laagbouw_groen;KA1;E;PROCES
101000166315;PD187154;504461;;3433 EE;combi_laagbouw_groen;KA1;E;PROCES
101000166933;PD187832;504461;;3813 HD;combi_laagbouw_groen;KA1;E+G;PROCES
101000167364;PD188279;504461;;3764 CJ;combi_laagbouw_groen;KA1;E;PROCES
101000167368;PD188304;504461;;3621 VC;combi_laagbouw_groen;KA1;E+G;PROCES
101000167822;PD188759;504461;;1231 NL;combi_laagbouw_groen;KA1;E;PROCES
101000168063;PD188946;504461;;3825 LR;combi_laagbouw_groen;KA1;E;PROCES
101000168284;PD189322;504461;;3425 TC;combi_laagbouw_groen;KA1;E+G;PROCES
101000168721;PD189699;504461;;3411 WT;combi_laagbouw_groen;KA1;E;PROCES
101000169023;PD190023;504461;;3417 GJ;combi_laagbouw_groen;KA1;E;PROCES
101000169385;PD190610;504461;;3432 GN;combi_laagbouw_groen;KA1;E;PROCES
101000169439;PD190430;504461;;3824 MJ;combi_laagbouw_groen;KA1;E;PROCES
101000169483;PD190581;504461;;3628 AJ;combi_laagbouw_groen;KA1;E;PROCES
101000169743;PD190769;504461;;3621 CR;combi_laagbouw_groen;KA1;E;PROCES
101000170179;PD191312;504461;;3439 RC;combi_laagbouw_groen;KA1;E;PROCES
101000170504;PD191625;504461;;3439 JD;combi_laagbouw_groen;KA1;E;PROCES
101000170822;PD192021;504461;;3631 AJ;combi_laagbouw_groen;KA1;E;PROCES
101000170824;PD192027;504461;;3631 AD;combi_laagbouw_groen;KA1;E;PROCES
101000170941;PD192095;504461;;3411 AC;combi_laagbouw_groen;KA1;E;PROCES
101000170947;PD192115;504461;;3411 AJ;combi_laagbouw_groen;KA1;E+G;PROCES
101000171133;PD192372;504461;;3401 NS;combi_laagbouw_oranje;KA1;E;PROCES
101000171313;PD192429;504461;;3741 BD;combi_laagbouw_groen;KA1;E+G;PROCES
101000171357;PD192583;504461;;3645 EG;combi_laagbouw_groen;KA1;E;PROCES
101000171603;PD192727;504461;;3812 EA;combi_laagbouw_groen;KA1;E;PROCES
101000171621;PD192777;504461;;3412 KB;combi_laagbouw_groen;KA1;E;PROCES
101000172134;PD193413;504461;;3817 KD;combi_laagbouw_groen;KA1;E;PROCES
101000172390;PD193862;504461;;3833 AG;combi_laagbouw_groen;KA1;E;PROCES
101000172415;PD193684;504461;;3411 EG;combi_laagbouw_groen;KA1;E;PROCES
101000172489;PD193904;504461;;3791 RJ;combi_laagbouw_oranje;KA1;E;PROCES
101000173074;PD194425;504461;;3766 AS;combi_laagbouw_groen;KA1;E;PROCES
101000173200;PD194512;504461;;3742 CA;combi_laagbouw_groen;KA1;E+G;PROCES
101000173462;PD194829;504461;;3607 CK;combi_laagbouw_groen;KA1;E+G;PROCES
101000173478;PD194880;504461;;1231 KA;combi_laagbouw_groen;KA1;E;PROCES
101000173567;PD195138;504461;;3818 EX;combi_laagbouw_groen;KA1;E;PROCES
101000173596;PD195217;504461;;3437 PK;combi_laagbouw_groen;KA1;E;PROCES
101000173883;PD195533;504461;;3755 AX;combi_laagbouw_groen;KA1;E;PROCES
101000173916;PD195283;504461;;3431 JH;combi_laagbouw_groen;KA1;E;PROCES
101000173997;PD195565;504461;;3446 GA;combi_laagbouw_groen;KA1;E;PROCES
101000174194;PD195884;504461;;3813 AH;combi_laagbouw_groen;KA1;E+G;PROCES
101000174262;PD195741;504461;;3402 BL;combi_laagbouw_groen;KA1;E;PROCES
101000174848;PD196412;504461;;3826 JD;combi_laagbouw_groen;KA1;E;PROCES
101000175100;PD196574;504461;;3769 KJ;combi_laagbouw_groen;KA1;E;PROCES
101000175182;PD196864;504461;;3833 GT;combi_laagbouw_groen;KA1;E;PROCES
101000175306;PD196866;504461;;3833 GT;combi_laagbouw_groen;KA1;E+G;PROCES
101000175345;PD196978;504461;;3421 LA;combi_laagbouw_groen;KA1;E;PROCES
101000175559;PD197134;504461;;3791 VZ;combi_laagbouw_groen;KA1;E;PROCES
101000175680;PD197414;504461;;3412 KV;combi_laagbouw_groen;KA1;E;PROCES
101000175686;PD197431;504461;;3412 KV;combi_laagbouw_groen;KA1;E;PROCES
101000175812;PD197316;504461;;3762 DX;combi_laagbouw_groen;KA1;E;PROCES
101000175850;PD197448;504461;;3811 KC;combi_laagbouw_groen;KA1;E;PROCES
101000176247;PD197907;504461;;3632 EP;combi_laagbouw_groen;KA1;E+G;PROCES
101000176262;PD197958;504461;;3755 PA;combi_laagbouw_groen;KA1;E;PROCES
101000176456;PD198108;504461;;3826 JC;combi_laagbouw_groen;KA1;E;PROCES
101000176639;PD198287;504461;;3817 KJ;combi_laagbouw_groen;KA1;E;PROCES
101000176671;PD198388;504461;;3817 KV;combi_laagbouw_groen;KA1;E;PROCES
101000176706;PD198308;504461;;3741 GN;combi_laagbouw_groen;KA1;E;PROCES
101000176756;PD198451;504461;;3826 KK;combi_laagbouw_groen;KA1;E;PROCES
101000176844;PD198511;504461;;3451 GA;combi_laagbouw_groen;KA1;E;PROCES
101000176903;PD198495;504461;;3645 AW;combi_laagbouw_groen;KA1;E+G;PROCES
101000177144;PD198859;504461;;3442 CA;combi_laagbouw_groen;KA1;E;PROCES
101000177462;PD199205;504461;;3832 GE;combi_laagbouw_groen;KA1;E;PROCES
101000177784;PD199600;504461;;3461 AH;combi_laagbouw_groen;KA1;E;PROCES
101000178084;PD199911;504461;;3631 NA;combi_laagbouw_groen;KA1;E;PROCES
101000178135;PD199868;504461;;3633 XX;combi_laagbouw_groen;KA1;E;PROCES
101000178502;PD200207;504461;;3602 AT;combi_laagbouw_groen;KA1;E;PROCES
101000178649;PD200541;504461;;3832 RX;combi_laagbouw_groen;KA1;E;PROCES
101000179292;PD201191;504461;;3768 EB;combi_laagbouw_groen;KA1;E;PROCES
101000179492;PD201225;504461;;3831 EX;combi_laagbouw_groen;KA1;E;PROCES
101000179526;PD201310;504461;;3766 LV;combi_laagbouw_groen;KA1;E;PROCES
101000179779;PD201539;504461;;3825 AK;combi_laagbouw_groen;KA1;E;PROCES
101000179813;PD201531;504461;;3628 BS;combi_laagbouw_groen;KA1;E;PROCES
101000179881;PD201771;504461;;3405 AH;combi_laagbouw_groen;KA1;E+G;PROCES
101000180004;PD201613;504461;;3833 AZ;combi_laagbouw_groen;KA1;E;PROCES
101000180379;PD202196;504461;;3436 ZJ;combi_laagbouw_groen;KA1;E+G;PROCES
101000180382;PD202204;504461;;3817 AK;combi_laagbouw_groen;KA1;E;PROCES
101000180415;PD202197;504461;;3645 AV;combi_laagbouw_groen;KA1;E+G;PROCES
101000180440;PD202261;504461;;3791 AB;combi_laagbouw_groen;KA1;E+G;PROCES
101000180545;PD202335;504461;;3437 PK;combi_laagbouw_groen;KA1;E;PROCES
101000180786;PD202757;504461;;3817 KJ;combi_laagbouw_groen;KA1;E;PROCES
101000180837;PD202615;504461;;3471 GR;combi_laagbouw_groen;KA1;E;PROCES
101000180851;PD202656;504461;;3402 ZM;combi_laagbouw_groen;KA1;E;PROCES
101000180855;PD202664;504461;;3402 ZM;combi_laagbouw_groen;KA1;E;PROCES
101000180857;PD202669;504461;;3402 ZS;combi_laagbouw_groen;KA1;E;PROCES
101000180946;PD202738;504461;;1231 LB;combi_laagbouw_groen;KA1;E;PROCES
101000181005;PD202814;504461;;3437 PH;combi_laagbouw_groen;KA1;E;PROCES
101000181082;PD203094;504461;;3621 AE;combi_laagbouw_groen;KA1;E+G;PROCES
101000182014;PD203854;504461;;3762 EK;combi_laagbouw_groen;KA1;E+G;PROCES
101000182039;PD203932;504461;;3401 PX;combi_laagbouw_groen;KA1;E;PROCES
101000182142;PD203994;504461;;3752 AE;combi_laagbouw_groen;KA1;E;PROCES
101000182175;PD204124;504461;;1231 LD;combi_laagbouw_groen;KA1;E;PROCES
101000182239;PD204222;504461;;3451 ML;combi_laagbouw_groen;KA1;E;PROCES
101000182258;PD204298;504461;;3405 NJ;combi_laagbouw_groen;KA1;E;PROCES
101000182355;PD204370;504461;;3612 NB;combi_laagbouw_groen;KA1;E+G;PROCES
101000182542;PD204634;504461;;3437 BE;combi_laagbouw_groen;KA1;E;PROCES
101000182725;PD204617;504461;;1391 BJ;combi_laagbouw_groen;KA1;E;PROCES
101000182926;PD204776;504461;;3481 GH;combi_laagbouw_groen;KA1;E+G;PROCES
101000183132;PD205103;504461;;3433 KW;combi_laagbouw_groen;KA1;E;PROCES
101000183256;PD205197;504461;;3811 EP;combi_laagbouw_oranje;KA1;E+G;PROCES
101000183806;PD205667;504461;;3749 AL;combi_laagbouw_groen;KA1;E+G;PROCES
101000183808;PD205670;504461;;3749 AL;combi_laagbouw_groen;KA1;G;PROCES
101000183853;PD205803;504461;;3752 DS;combi_laagbouw_groen;KA1;E;PROCES
101000183901;PD205668;504461;;3749 AL;combi_laagbouw_groen;KA1;E;PROCES
101000184186;PD206234;504461;;3621 BM;combi_laagbouw_groen;KA1;E;PROCES
101000184191;PD206247;504461;;3451 ML;combi_laagbouw_groen;KA1;E;PROCES
101000184261;PD206161;504461;;3471 BS;combi_laagbouw_groen;KA1;E+G;PROCES
101000184411;PD206292;504461;;3815 AG;combi_laagbouw_groen;KA1;E;PROCES
101000184501;PD206285;504461;;3815 AG;combi_laagbouw_oranje;KA1;E;PROCES
101000184522;PD206349;504461;;3833 AN;combi_laagbouw_oranje;KA1;E;PROCES
101000184843;PD206746;504461;;3817 BZ;combi_laagbouw_groen;KA1;E+G;PROCES
101000184943;PD206969;504461;;3741 GK;combi_laagbouw_groen;KA1;E;PROCES
101000185068;PD207044;504461;;3743 BH;combi_laagbouw_groen;KA1;E+G;PROCES
101000185123;PD206925;504461;;3421 TJ;combi_laagbouw_groen;KA1;E;PROCES
101000185188;PD207133;504461;;3744 MK;combi_laagbouw_groen;KA1;E+G;PROCES
101000185397;PD207455;504461;;3742 WH;combi_laagbouw_groen;KA1;E+G;PROCES
101000185987;PD208056;504461;;3431 SB;combi_laagbouw_groen;KA1;E;PROCES
101000186420;PD208216;504461;;3417 GL;combi_laagbouw_groen;KA1;E;PROCES
101000186681;PD208489;504461;;3813 AA;combi_laagbouw_groen;KA1;E;PROCES
101000186776;PD208720;504461;;3628 AZ;combi_laagbouw_groen;KA1;E;PROCES
101000186972;PD208761;504461;;3421 CE;combi_laagbouw_groen;KA1;E+G;PROCES
101000187143;PD209024;504461;;3825 AP;combi_laagbouw_groen;KA1;E;PROCES
