PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE;VESTIGING
101000203915;PD225893;762728;X;2907 RC;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S03
101000203916;PD225894;863277;X;3363 LS;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S01
000031018561;PD213128;864105;;3601 GH;;K15;E;PROJECT;S05
101000203783;PD225897;603329;X;3314 JA;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S01
101000203854;PD225903;504250;X;2411 ZW;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000203919;PD225911;503400;X;3313 AR;VERLICHT;KA1;E;PROCES;S01
000031019404;PD223872;501717;;3021 WS;;K15;E;PROJECT;S03
101000203921;PD225917;749620;;1911 XW;GASLOOS;KA1;G;PROCES;S02
101000203789;PD225923;603329;X;3267 AS;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S01
000031019522;PD225928;501844;;3062 BN;;K15;E;PROJECT;S03
101000203792;PD225930;750549;X;2614 EM;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
000031019541;PD225933;501844;;3641 LJ;;K15;E;PROJECT;S05
101000203847;PD225882;605422;X;3205 LH;grootverbruik_proces_capaciteitswijziging_elektra;KA1;E;PROCES;S01
101000203790;PD225927;504015;;3435 CL;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S05
101000203928;PD225936;763193;X;9285 LN;GASLOOS;KA1;G;PROCES;S05
101000203859;PD225910;503950;;1231 AZ;verplaatsen_laagbouw_oranje;KA1;E;PROCES;S05
101000203867;PD225939;862107;X;3051 XP;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
101000203930;PD225943;765816;X;3641 GE;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S05
101000203795;PD225950;765816;X;3562 BN;aardgasloos_renoveren_hoogbouw_bo_stop;KA1;G;PROCES;S05
101000203870;PD225951;503400;X;3233 VG;verzwaren_zekeringwissel;KA1;E;PROCES;S01
000031019308;PD222430;500358;;2586 JK;;K07;E+G;PROJECT;S03
101000203785;PD225902;604007;;4205 AC;wb_>5_aanleg_e_t/m_1750kva_laagbouw_excl._net;KA1;E;PROJECT;S01
000031014893;PD165508;757556;;3911 VT;;N06;E;PROJECT;S05
101000203934;PD225958;862107;X;3034 SM;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
000031019478;PD225962;501844;;3972 EE;;K15;E;PROJECT;S05
