PRODUCT;Hoofdproduct;SAPCODEPRODUCTCHANNEL;SAPCODEPRODUCTTEAM;VARIANTID;WORKCENTREID;IS_ACTIVE;;;;
Sloop Enkelvoudig Primair;Sloop;a_en_a;sloop_proces;94;AVTPH1;1;;;;
Sloop Enkelvoudig Primair;Sloop;a_en_a;sloop_proces;96;SOMD01;1;;;;
Sloop Enkelvoudig Secundair Hoogbouw;Sloop;a_en_a;sloop_proces;305;;1;;;;
Sloop Enkelvoudig Secundair Hoogbouw;Sloop;a_en_a;sloop_proces;94;AVTPH1;1;;;;
Sloop Enkelvoudig Secundair Hoogbouw;Sloop;a_en_a;sloop_proces;96;SOMD01;1;;;;
GVB-Proces Verplaatsen;Grootverbruik;oor_plus;grootverbruik_proces;88;;1;;;;
GVB-Proces Verplaatsen;Grootverbruik;oor_plus;grootverbruik_proces;94;AVTPH1;1;;;;
Verzwaren Zekeringwissel;Verzwaren;a_en_a;verzwaren;301;;1;;;;
Verzwaren Zekeringwissel;Verzwaren;a_en_a;verzwaren;94;AVTPH1;1;;;;
Verzwaren Zekeringwissel;Verzwaren;a_en_a;verzwaren;96;SOMD01;1;;;;
Sloop Enkelvoudig Secundair;Sloop;a_en_a;sloop_proces;305;;1;;;;
Sloop Enkelvoudig Secundair;Sloop;a_en_a;sloop_proces;94;AVTPH1;1;;;;
Sloop Enkelvoudig Secundair;Sloop;a_en_a;sloop_proces;96;SOMD01;1;;;;
Aanleg Laagbouw Groen;Aanleg;a_en_a;aanleg;304;;1;;;;
Aanleg Laagbouw Groen;Aanleg;a_en_a;aanleg;94;AVTPH1;1;;;;
Aanleg Laagbouw Oranje;Aanleg;a_en_a;aanleg;304;;1;;;;
Aanleg Laagbouw Oranje;Aanleg;a_en_a;aanleg;94;AVTPH1;1;;;;
Verzwaren Vervangen Aansluitkast;Verzwaren;a_en_a;verzwaren;302;;1;;;;
Verzwaren Vervangen Aansluitkast;Verzwaren;a_en_a;verzwaren;94;AVTPH1;1;;;;
Verzwaren Vervangen Aansluitkast;Verzwaren;a_en_a;verzwaren;96;SOMD01;1;;;;
GVB-Proces Verwijderen;Grootverbruik;oor_plus;grootverbruik_proces;87;;1;;;;
GVB-Proces Verwijderen;Grootverbruik;oor_plus;grootverbruik_proces;94;AVTPH1;1;;;;
Teruglevering Aanleg;Teruglevering;oor_plus;teruglevering_proces;39;;1;;;;
Teruglevering Aanleg;Teruglevering;oor_plus;teruglevering_proces;94;AVTPH1;1;;;;
GVB-Proces Zekering Wissel Aanpassing;Grootverbruik;oor_plus;grootverbruik_proces;91;;1;;;;
GVB-Proces Zekering Wissel Aanpassing;Grootverbruik;oor_plus;grootverbruik_proces;94;AVTPH1;1;;;;
GVB-Proces Aanleg;Grootverbruik;oor_plus;grootverbruik_proces;86;;1;;;;
GVB-Proces Aanleg;Grootverbruik;oor_plus;grootverbruik_proces;94;AVTPH1;1;;;;
Verkoop Proces - Uitvoering Projecten;NULL;klant_en_combi;verkoop_proces_uitvoering_projecten;58;;1;;;;
EV MS Aanleg;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
EV MS Aanleg;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;94;AVTPH1;1;;;;
GVB-Proces Verlichten/verzwaren Elektra;Grootverbruik;oor_plus;grootverbruik_proces;89;;1;;;;
GVB-Proces Verlichten/verzwaren Elektra;Grootverbruik;oor_plus;grootverbruik_proces;94;AVTPH1;1;;;;
< 10 Aansluitingen OV;Openbare Verlichting;oor_plus;openbare_verlichting;34;;1;;;;
< 10 Aansluitingen OV;Openbare Verlichting;oor_plus;openbare_verlichting;95;AVTPH1;1;;;;
> 10 Aansluitingen OV;Openbare Verlichting;oor_plus;openbare_verlichting;34;;1;;;;
> 10 Aansluitingen OV;Openbare Verlichting;oor_plus;openbare_verlichting;95;AVTPH1;1;;;;
EV Kvb laadpaal (oranje incl. vergunning);Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;33;AVTPH1;1;;;;
EV Kvb laadpaal (oranje incl. vergunning);Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;33;;1;;;;
EV-GVB Aanleg;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
EV-GVB Aanleg;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;94;AVTPH1;1;;;;
Combi Rood;Combi;combi;combi_aansluitingen;38;;1;;;;
Combi Rood;Combi;combi;combi_aansluitingen;94;AVTPH1;1;;;;
Combi Rood;Combi;combi;combi_aansluitingen;97;SOMD01;1;;;;
GVB-Proces Verlichten/verzwaren Gas ;Grootverbruik;oor_plus;grootverbruik_proces;90;;1;;;;
GVB-Proces Verlichten/verzwaren Gas ;Grootverbruik;oor_plus;grootverbruik_proces;94;AVTPH1;1;;;;
Verzwaren Compleet Vervangen;Verzwaren;a_en_a;verzwaren;303;;1;;;;
Verzwaren Compleet Vervangen;Verzwaren;a_en_a;verzwaren;94;AVTPH1;1;;;;
Verzwaren Compleet Vervangen;Verzwaren;a_en_a;verzwaren;96;SOMD01;1;;;;
